space,pitch
0,220
1,226.4464921
2,233.0818808
3,239.9117012
4,246.9416506
5,254.1775933
6,261.6255653
7,269.2917795
8,277.182631
9,285.304702
10,293.6647679
11,302.2698024
12,311.1269837
13,320.2437002
14,329.6275569
15,339.2863816
16,349.2282314
17,359.4613997
18,369.9944227
19,380.8360868
20,391.995436
21,403.481779
22,415.3046976
23,427.4740541
24,440
25,452.8929841
26,466.1637615
27,479.8234024
28,493.8833013
29,508.3551866
30,523.2511306
31,538.5835591
32,554.365262
33,570.609404
34,587.3295358
35,604.5396049
36,622.2539674
37,640.4874005
38,659.2551138
39,678.5727632
40,698.4564629
41,718.9227994
42,739.9888454
43,761.6721737
44,783.990872
45,806.963558
46,830.6093952
47,854.9481082
48,880
49,905.7859682
50,932.327523
51,959.6468047
52,987.7666025
53,1016.710373
54,1046.502261
55,1077.167118
56,1108.730524
57,1141.218808
58,1174.659072
59,1209.07921
60,1244.507935
61,1280.974801
62,1318.510228
63,1357.145526
64,1396.912926
65,1437.845599
66,1479.977691
67,1523.344347
68,1567.981744
69,1613.927116
70,1661.21879
71,1709.896216
72,1760
